FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.82785Co0.88317Fe0.0Y0.0Zr0.11683O3,01200,21,2,10,0.13019,,41.382011,31.643998999999997,0.8900052497555252,2.1500126819936844,1.4900087889165534,137.32781003727754,1.8157435,1.373366,0.7790427500000001,62.70572974815,0.8278451168713749,0.49016022899463785,1.5655059772804076,1.9126149225014328,2.1900360714856224,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.82936Co0.87831Fe0.0Y0.0Zr0.12169O3,01200,22,2,11,0.11435,,45.380009,31.643998999999997,0.8900046261916896,2.1500111756316094,1.490007744972604,137.3277138213777,1.8130705,1.374338,0.7794882500000001,62.862663060450004,0.8293556890355097,0.4908825256335535,1.5643976777412902,1.9115204686826308,2.1845672317337335,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.85139Co0.8559Fe0.0Y0.0Zr0.1441O3,01200,23,3,1,0.18884,13.771303,5.4000001,19.148001,0.8900020832213853,2.1500050325010993,1.4900034876402968,137.32732144105975,1.800745,1.37882,0.7815425,63.586300000499996,0.8513880071576363,0.49424104091439114,1.559307982551094,1.9064906740712075,2.159699832196242,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84119Co0.85125Fe0.0Y0.0Zr0.14875O3,01200,24,3,2,0.19705001,10.101571,9.397999800000001,19.148001,0.8900033521710199,2.1500080979412277,1.490005612061595,137.32751723998837,1.7981874999999996,1.37975,0.78196875,63.736452243749994,0.8411868316830118,0.49494468856613677,1.5582591758950735,1.9054541656064836,2.154615018652136,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.85092Co0.85264Fe0.0Y0.0Zr0.14736O3,01200,25,3,3,0.20113,3.3192718,13.395999999999999,19.148001,0.8899977253503712,2.1499945050598854,1.4899961918787115,137.32664902156228,1.7989519999999999,1.379472,0.7818413333333334,63.69156802479999,0.8509221747750663,0.4947312242629994,1.5585633525434988,1.9057526487199168,2.156119770329575,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84587Co0.84974Fe0.0Y0.0Zr0.15026O3,01200,26,3,4,0.20181,2.7388522999999996,17.39398,19.148001,0.8899974986695783,2.149993957460217,1.4899958123794064,137.32661404471594,1.797357,1.3800520000000003,0.7821071666666668,63.7852113593,0.8458723773104609,0.49517012962342943,1.5579079320635865,1.9051044100896737,2.152953813559692,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.85085Co0.85729Fe0.0Y0.0Zr0.14271O3,01200,27,3,5,0.19877,,21.393998999999997,19.148001,0.8899956351119314,2.1499894556074746,1.4899926924907614,137.32632649777102,1.8015094999999999,1.378542,0.7814150833333334,63.54141578155,0.8508541729025028,0.49402772236945264,1.5596111366991174,1.9067877294290279,2.161209737124638,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83904Co0.85516Fe0.0Y0.0Zr0.14484O3,01200,28,3,6,0.18986,,25.389999,19.148001,0.8899957066452765,2.1499896284127464,1.4899928122488335,137.32633753536615,1.800338,1.3789680000000002,0.7816103333333334,63.6101951962,0.839044047543511,0.4943492314472485,1.5591294565303517,1.9063115579530039,2.15887307233998,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83951Co0.85312Fe0.0Y0.0Zr0.14688O3,01200,29,3,7,0.17994000000000002,,29.388,19.148001,0.8900023638729732,2.1500057104796544,1.4900039574952022,137.32736474559977,1.799216,1.3793760000000002,0.7817973333333335,63.6760684384,0.8395077702362598,0.494661210145404,1.5586799469322752,1.9058698385965356,2.15665583811051,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84227Co0.85641Fe0.0Y0.0Zr0.14359O3,01200,30,3,8,0.16666999,,33.386002000000005,19.148001,0.8899981449603904,2.1499955187245385,1.4899968943718895,137.32671376738824,1.8010255,1.378718,0.7814957500000002,63.56983168995,0.8422717555589534,0.4941618788631202,1.5594164424665076,1.9065962858683354,2.1602497618237164,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
