FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba0.87492Co0.74014Fe0.02269Y0.0461Zr0.19107O3,01505,21,2,10,4.1028204,0.42196000000000006,0.52235937,0.45081177,0.68215001,7481.8403,3157.2468,432.86295,30.783064000000003,37.92263,44.137398,239.51199,133.24799,0.8899975402755603,2.14999405796905,1.489995882034365,137.32662046451895,1.7433509999999999,1.4100935,0.8002816583333334,66.41466736230001,0.8749224180539938,0.5105096680333222,1.5247173736841209,1.8618393493328718,2.067715249033556,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87186Co0.73653Fe0.0242Y0.0388Zr0.20047O3,01505,22,2,11,4.1013579,0.39574999,0.49085796,0.43233785,0.76666117,7911.7622,2861.5376,433.41483,30.794313,37.929382000000004,44.115711,243.50999,133.24799,0.8899949419889172,2.149987781209182,1.489991532093805,137.32621954888992,1.7429235,1.408764,0.7992872500000001,66.49473737335,0.871864954946747,0.5106333938287694,1.5261518474415745,1.8641502564863945,2.0652193688327585,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86782Co0.65136Fe0.02909Y0.06887Zr0.25068O3,01505,23,3,1,4.1091666,0.31051001,0.5180614,0.41062757,0.74804521,6317.2617,2721.2976,306.37393,30.734346000000002,37.841908000000004,44.082401000000004,203.53,120.75200000000001,0.8899957236918439,2.149989669592656,1.4899928407874687,137.3263401656515,1.6952173,1.4325820000000002,0.8124704250000001,69.0022351547,0.8678241697568262,0.5250039176050433,1.5007794804015797,1.8339040966167703,1.9901723452547853,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.85347Co0.65839Fe0.02496Y0.0656Zr0.25105O3,01505,24,3,2,4.1076597999999995,0.33992001,0.51039839,0.45410493,0.85604835,7109.2524,2597.8914,382.95444,30.745901,37.863693,44.139061,207.528,120.75200000000001,0.8900026834139693,2.150006482404532,1.4900044924570945,137.32741405077545,1.6973785000000001,1.430978,0.8112683833333334,68.92892641604999,0.8534674267343649,0.5243395526772427,1.5024734708741379,1.8366357213810987,1.992304554721731,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.84937Co0.66873Fe0.0268Y0.06104Zr0.24343O3,01505,25,3,3,4.105900800000001,0.36568001,0.52008283,0.43197557,0.78241855,7206.4502,2929.2312,312.32336000000004,30.759397999999997,37.874825,44.120940999999995,211.52598999999998,120.75200000000001,0.8900043714459976,2.1500105602347133,1.4900073184882432,137.32767451411743,1.7044871000000001,1.4274940000000003,0.8094859500000001,68.54051289635001,0.8493658281383708,0.5221537736753757,1.5061433254603611,1.8406833602093315,2.0035985829547323,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.85658Co0.67128Fe0.02763Y0.05961Zr0.24147O3,01505,26,3,4,4.105443,0.39254999,0.52698398,0.42425284,0.73087305,7287.438,3424.5566,311.85751,30.762911,37.889336,44.109219,215.524,120.75200000000001,0.8899982694703252,2.1499958195069655,1.4899971028211063,137.32673297927118,1.7064485999999999,1.4264865,0.8089799750000001,68.4312094881,0.8565816655505518,0.5215500012542571,1.507196751954516,1.841821984309446,2.0067851205107217,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86261Co0.68104Fe0.02723Y0.05776Zr0.23397O3,01505,27,3,5,4.1042318,0.40881999999999996,0.53665626,0.42275023,0.77241516,7261.0215,3512.9976,336.26196,30.772215000000003,37.899277000000005,44.059002,219.51997000000003,120.75200000000001,0.8900045342511078,2.150010953527957,1.4900075910496076,137.32769963494593,1.7118333999999997,1.4241475,0.8077639083333333,68.13540364880001,0.8626056053141332,0.5199130559382169,1.5096827776111372,1.8446077816523814,2.0155116471136445,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86177Co0.68886Fe0.02584Y0.0589Zr0.22641O3,01505,28,3,6,4.1030951,0.41516000000000003,0.54142606,0.42567205,0.6731903,7386.0308,3557.6899,313.67828,30.780951,37.911396,44.125209999999996,223.51997000000003,120.75200000000001,0.8900006115515713,2.1500014773436833,1.4900010238335295,137.32709436240745,1.7153273,1.4230925000000003,0.8072713,67.9303359127,0.8617694078467019,0.5188517733913355,1.5107953118603905,1.845725252258478,2.0215871527397127,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.85671Co0.70215Fe0.02708Y0.04843Zr0.22234O3,01505,29,3,7,4.1026216,0.41729999,0.53699362,0.42233342,0.73784232,7462.5244,3600.8032,365.23699999999997,30.784594,37.917656,44.136371999999994,227.51799,120.75200000000001,0.8900038797397337,2.1500093724049747,1.4900064952946104,137.32759864384093,1.7243952,1.4176155000000001,0.8041505500000001,67.48067994475,0.8567062653962494,0.5161252361058147,1.5166378841124228,1.8528949526859244,2.0350654254859064,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87029Co0.70906Fe0.02644Y0.04547Zr0.21903O3,01505,30,3,8,4.101408,0.4077,0.52887946,0.42663911,0.77941698,7475.3691,3462.0139,344.83722,30.793928,37.931168,44.16032,231.51597999999998,120.75200000000001,0.8900025163820161,2.150006078900376,1.4900042128193303,137.3273882777451,1.7282012999999998,1.4155895000000003,0.8029891333333334,67.2870547662,0.8702875393529069,0.5149877600381485,1.5188061785569724,1.8555720755947092,2.0409184018369033,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
