FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01142,30,3,8,4.0495243,0.8322919,,824.20514,,31.198446,,33.386009,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,31,3,9,4.048646,0.84658843,,772.13544,,31.205386999999998,,37.384009999999996,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,32,3,10,4.048380399999999,0.84281337,,743.87054,,31.207487,,41.381989000000004,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,33,3,11,4.0483150000000006,0.82536334,,719.32953,,31.208002,,45.381989000000004,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,34,4,1,4.0417166,0.77216589,,355.98254,,31.260253999999996,,5.4000001,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,35,4,2,4.0411968,0.82303172,,421.78769000000005,,31.264378000000004,,9.397999800000001,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,36,4,3,4.0417776,0.79880577,,399.48773,,31.259769,,13.39599,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,37,4,4,4.040469600000001,0.77742714,,368.90533,,31.270146999999998,,17.393998999999997,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,38,4,5,4.0444026,0.79840577,,423.62050999999997,,31.238964000000003,,21.391991,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,39,4,6,4.0481997000000005,0.82558048,,456.47542999999996,,31.208916,,25.389999,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,40,4,7,4.0459847,0.83507371,,455.74185,,31.226435,,29.38802,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,41,4,8,4.0481238,0.85068214,,513.68665,,31.209515000000003,,33.386009,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,42,4,9,4.0496583,0.85536516,,536.2412099999999,,31.197388,,37.384009999999996,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,43,4,10,4.0483327000000005,0.83375674,,547.3689,,31.207863,,41.381989000000004,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,44,4,11,4.048327,0.80373603,,584.07892,,31.207909,,45.37999,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
