FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.58831Co0.33666Fe0.14981Y0.0Zr0.51353O3,01257,21,2,10,0.26383001,41.381989000000004,31.643998999999997,0.8900027855589114,2.150006729159168,1.4900046634637956,137.32742981174005,1.590068,1.4601965000000001,0.8280159250000001,75.0528495987,0.5883081586887257,0.5597262416191706,1.4724091785997075,1.7994879306986704,1.8297430483454782,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.57332Co0.32982Fe0.13576Y0.0Zr0.53442O3,01257,22,2,11,0.25066,45.381989000000004,31.643998999999997,0.8899942754168925,2.14998617095092,1.4899904161473818,137.32611669682652,1.579281,1.463672,0.8287483,75.7707936549,0.5733236876843795,0.5635439642577176,1.4688988864656287,1.7978805098573136,1.8123885216549505,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.51802Co0.22603Fe0.23008Y0.0Zr0.54389O3,01257,23,3,1,0.33590001,5.402,19.148001,0.8899996868097829,2.1499992434168913,1.4899994756703108,137.3269516747495,1.5693565,1.470282,0.8375549833333333,75.78530902585,0.5180201822908465,0.567111224766191,1.462303995707552,1.7789870579485467,1.8120524075175037,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.52417Co0.23913Fe0.23149Y0.0Zr0.52937O3,01257,24,3,2,0.35707,9.397999800000001,19.148001,0.8900081943122503,2.1500197952486944,1.4900137185676998,137.3282643823802,1.5772532,1.467435,0.836334975,75.31150285035,0.524165173962802,0.5642773109049646,1.4651550462192153,1.7815991954272865,1.8234699771595648,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.53795Co0.2497Fe0.23134Y0.0Zr0.51896O3,01257,25,3,3,0.37678999,13.39599,19.148001,0.8899998165276214,2.149999556780209,1.4899996928383774,137.326971690212,1.583005,1.4653589999999999,0.8353757833333333,74.9764081315,0.5379501108977376,0.5622217343139292,1.4672169460045006,1.783628066033888,1.8316024348533246,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.60823Co0.28083Fe0.22746Y0.0Zr0.49172O3,01257,26,3,4,0.30287001,17.393998999999997,19.148001,0.890000121186427,2.1500002927537283,1.4900002028851418,137.3270186990657,1.5981998,1.4597305,0.8325599000000001,74.10937813185001,0.6082299171806624,0.5568766315616026,1.4728748167923655,1.789661263874397,1.8530315887247557,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.55354Co0.27438Fe0.22137Y0.0Zr0.50425O3,01257,27,3,5,0.39206001,21.391991,19.148001,0.890006392280004,2.1500154420247286,1.4900107016822537,137.3279863288046,1.5915940000000002,1.4619185,0.833188225,74.5321996941,0.5535360243176858,0.5591918493535436,1.4706807814695064,1.788324242919124,1.8425323134488882,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.60757Co0.30682Fe0.20841Y0.0Zr0.48476O3,01257,28,3,6,0.31387001,25.389999,19.148001,0.8899946497581286,2.1499870752584003,1.4899910428534962,137.32617445767923,1.6029427,1.457359,0.8303031583333333,73.9422855799,0.6075736524337025,0.5552254923136857,1.4752624955542184,1.7945144829321782,1.8572075961769987,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.61039Co0.32283Fe0.19279Y0.0Zr0.48438O3,01257,29,3,7,0.31138000000000005,29.38802,19.148001,0.8900063084174811,2.150015239435488,1.4900105612831986,137.32797338881733,1.6039515,1.4565155,0.8289613250000001,73.97884201184999,0.6103856735194909,0.5548835537841893,1.4761361890316225,1.797442795396032,1.8563141792192424,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.60933Co0.33173Fe0.17213Y0.0Zr0.49614O3,01257,30,3,8,0.30557999,33.386009,19.148001,0.8899976632362788,2.149994355008988,1.4899960878899499,137.3266394373578,1.5985165000000001,1.4578345000000001,0.8283004416666668,74.42238398735,0.6093315998471649,0.5567647648530865,1.4747863046244192,1.7988594632303352,1.8452330075948655,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
