FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.74519Co0.0Fe0.0Y0.18288Zr0.81712O3,01300,21,2,10,0.50392997,,41.381989000000004,31.643998999999997,0.8899958076983187,2.149989872529646,1.4899929814275223,137.32635312785058,1.3098832,1.5957199999999998,0.8929184,90.800056728,0.7451935101977593,0.679446692421369,1.3473478257649503,1.6686776545623008,1.5124038252445637,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74865Co0.0Fe0.0Y0.18397Zr0.81603O3,01300,22,2,11,0.45770001,,45.37999,31.643998999999997,0.8900027696788877,2.150006690797313,1.490004636878138,137.32742736145238,1.3097633,1.5959925,0.8931146,90.7975299445,0.748647670209386,0.6795142066348078,1.3471283172053208,1.6683241287043542,1.5124577446698582,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74928Co0.0Fe0.0Y0.181Zr0.819O3,01300,23,3,1,0.45271999,,5.4000001,19.148001,0.88999541947307,2.1499889346821357,1.489992331477387,137.32629322469472,1.31009,1.59525,0.8925799999999999,90.80441485,0.7492838563088561,0.6793391442367089,1.3477441997694002,1.6693095649436323,1.5123305783264427,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74569Co0.0Fe0.0Y0.18228Zr0.81772O3,01300,24,3,2,0.49827,,9.397999800000001,19.148001,0.8899961699783497,2.1499907477005076,1.489993587941282,137.32640902765937,1.3099492000000001,1.59557,0.8928103999999999,90.801447618,0.7456932090125112,0.6794127359888076,1.3474750388265684,1.668880187709823,1.5123812739791223,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73939Co0.0Fe0.0Y0.18259Zr0.81741O3,01300,25,3,3,0.53579998,,13.39599,19.148001,0.8900057756343861,2.150013952375202,1.4900096693204892,137.3278911803858,1.3099151,1.5956475,0.8928661999999999,90.8007289915,0.7393852017768585,0.6794377556487333,1.3474241349516118,1.6687939013936122,1.5124095665932515,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73856Co0.0Fe0.0Y0.18412Zr0.81588O3,01300,26,3,4,0.56505001,,17.39397,19.148001,0.8900043639999368,2.1500105422470384,1.490007306022366,137.32767336519024,1.3097468,1.5960300000000003,0.8931416000000001,90.797182222,0.7385563785842816,0.6795239843303581,1.3470990784929093,1.6682766831400149,1.5124662462478486,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73479Co0.0Fe0.0Y0.18505Zr0.81495O3,01300,27,3,5,0.58333999,,21.391991,19.148001,0.8900018708882439,2.150004519561488,1.4900031321612173,137.32728867805602,1.3096445,1.5962625,0.8933089999999999,90.7950263425,0.7347884553853001,0.6795751601967128,1.346899096834943,1.6679593871339227,1.5124979220780828,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73421Co0.0Fe0.0Y0.18453Zr0.81547O3,01300,28,3,6,0.59092999,,25.389971,19.148001,0.8899987805873081,2.1499970542277667,1.4899979585113359,137.32681184462163,1.3097017000000002,1.5961325000000002,0.8932154000000001,90.79623178050001,0.7342110059620441,0.6795431208398889,1.3470041204146688,1.6681283803563347,1.5124725900146314,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73657Co0.0Fe0.0Y0.18346Zr0.81654O3,01300,29,3,7,0.58468002,,29.387990999999996,19.148001,0.8900005031735174,2.1500012155315305,1.490000842391619,137.32707763967372,1.3098194,1.595865,0.8930228000000001,90.79871220100001,0.7365695835704402,0.6794833724202873,1.3472325137348902,1.6684913782622557,1.5124341999000428,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74085Co0.0Fe0.0Y0.185Zr0.815O3,01300,30,3,8,0.56722999,,33.385979,19.148001,0.8900054234296839,2.1500131015436184,1.4900090796744145,137.32783683520023,1.30965,1.59625,0.8933,90.79514225,0.7408454854793292,0.6795750188444881,1.3469150205441618,1.6679828497418723,1.512502028545478,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
