FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.94602Co0.26857Fe0.47439Y0.12332Zr0.13372O3,01228,22,2,11,4.1180711,0.069080003,0.49404659999999995,0.54652512,1509.8369,322.1774,14.788801999999999,30.666254,37.784348,45.37999,31.643998999999997,0.8900027030349212,2.150006529803461,1.4900045253056546,137.32741707828833,1.7013432999999998,1.4559574999999998,0.8540207583333332,65.48234043315,0.9460171268344607,0.5231176465296107,1.4766959405088824,1.7446935695257308,2.097167208287003,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94302Co0.26491Fe0.41989Y0.13071Zr0.18449O3,01228,23,3,1,,0.09292999699999999,,,,,,,,5.4000001,19.148001,0.8900014626195157,2.1500035332943357,1.4900024486551444,137.32722568219128,1.6712673999999998,1.466712,0.8560952083333333,67.51154915095,0.9430184502503494,0.532530858089804,1.4658661913820408,1.7404634836771449,2.0341293809617587,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93747Co0.26869Fe0.41689Y0.13332Zr0.1811O3,01228,24,3,2,,0.09489999699999999,,,,,,,,9.397999800000001,19.148001,0.890002041805747,2.1500049324520853,1.4900034183040034,137.32731505062677,1.6715593,1.4670584999999998,0.8562410083333334,67.48957653655,0.9374678492952333,0.5324382101225766,1.4655209267061167,1.740168251464951,2.0347929576392447,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93536Co0.2649Fe0.41152Y0.13481Zr0.18877O3,01228,25,3,3,,0.09646,,,,,,,,13.39599,19.148001,0.8900038118595915,2.150009208424856,1.4900063816525746,137.32758816993498,1.6666258999999999,1.4689945,0.8568969000000001,67.798489874,0.935355993881217,0.5340153491311947,1.4635924153731386,1.738839738657678,2.02552576650529,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93911Co0.26606Fe0.41572Y0.13522Zr0.183O3,01228,26,3,4,,0.095059998,,,,,,,,17.393998999999997,19.148001,0.8899953611137542,2.1499887937017657,1.489992233774712,137.32628421985225,1.6693188,1.468235,0.8568328666666666,67.6114902987,0.9391148948844597,0.5331488276018662,1.464335609559618,1.7389531748136866,2.031108671220825,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92828Co0.26421Fe0.41195Y0.1352Zr0.18864O3,01228,27,3,5,,0.093120001,,,,,,,,21.391991,19.148001,0.890002740474565,2.1500066202475443,1.4900045879855075,137.32742285522536,1.6664185,1.4691655,0.857027125,67.80465348095,0.9282771416630382,0.5340811689707987,1.463420302374065,1.7385734296163702,2.0253392032127717,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94022Co0.26615Fe0.4153Y0.13371Zr0.18484O3,01228,28,3,6,,0.08897999699999999,,,,,,,,25.389999,19.148001,0.8899993639975499,2.1499984635895864,1.489998935231853,137.32690186482193,1.6693244,1.4679024999999999,0.8565559666666667,67.62694371274999,0.9402206718906191,0.5331494369803436,1.4646738891647004,1.7395231522702055,2.0306536762644076,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.96398Co0.27403Fe0.42307Y0.13017Zr0.17273O3,01228,29,3,7,,0.083010003,,,,,,,,29.38802,19.148001,0.8899987696703028,2.1499970278552256,1.4899979402345518,137.3268101601277,1.6779328,1.464276,0.8551381583333333,67.10580359034999,0.9639813326009674,0.530413834016656,1.4683003940891102,1.7424060962716972,2.046422258772797,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94031Co0.26817Fe0.42008Y0.13302Zr0.17873O3,01228,30,3,8,,0.07745,,,,,,,,33.386009,19.148001,0.8899999759829621,2.1499999419813127,1.4899999597917004,137.32699629417104,1.6729013000000001,1.466609,0.85621075,67.39420419014999,0.9403100253746759,0.5320098537689952,1.4659666904957713,1.7402257093731892,2.0376677482044085,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9766Co0.28078Fe0.43678Y0.13393Zr0.1485O3,01228,31,3,9,,0.070600003,,,,,,,,37.384009999999996,19.148001,0.8899954949589444,2.149989117035652,1.4899924578526147,137.3263048721651,1.6880734,1.4617939999999998,0.8550847833333333,66.39316608259999,0.9766049434217587,0.5272255904032043,1.4707880296646807,1.74250844699195,2.068380120648516,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
