FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.85609Co0.89644Fe0.0Y0.0Zr0.10356O3,01201,11,1,11,0.10138,18.797373,45.380009,44.14201,0.889996322154688,2.1499911153175044,1.4899938427084103,137.32643250846834,1.823042,1.370712,0.7778263333333334,62.2772307658,0.8560935377298926,0.48819298850749904,1.5685214073543563,1.915586781850289,2.2050825128191502
Ba0.8245Co0.86119Fe0.0Y0.0Zr0.13881O3,01201,12,2,1,0.21720999,8.0571918,5.4000001,31.643998999999997,0.8899981293787949,2.1499954810836055,1.4899968682858475,137.32671136314804,1.8036545,1.3777620000000002,0.7810575833333334,63.41548164205,0.8245017329555341,0.49344158173241875,1.5604984613333837,1.9076658367837123,2.1655076616510067
Ba0.82284Co0.86164Fe0.0Y0.0Zr0.13836O3,01201,13,2,2,0.22403,9.4008102,9.397999800000001,31.643998999999997,0.8899978296586241,2.149994757040496,1.4899963665071345,137.32666511632567,1.803902,1.377672,0.7810163333333334,63.4009507798,0.8228420065708458,0.4933737141256144,1.5605998793911005,1.9077659492060999,2.1660032448610997
Ba0.83228Co0.86133Fe0.0Y0.0Zr0.13867O3,01201,14,2,3,0.22899,6.9974479999999994,13.395999999999999,31.643998999999997,0.8900036330130195,2.150008776379766,1.4900060822352799,137.3275605739089,1.8037315,1.377734,0.7810447500000002,63.41096092935,0.8322766026160302,0.4934235683154724,1.5605398258152632,1.9077089785640062,2.165675437830281
Ba0.82839Co0.8608Fe0.0Y0.0Zr0.1392O3,01201,15,2,4,0.22908001,3.7606788,17.39398,31.643998999999997,0.8899986221112028,2.1499966713922314,1.489997693197407,137.32678739175861,1.80344,1.37784,0.7810933333333334,63.428075056,0.8283912825068177,0.49350054457658854,1.5604109848692385,1.907579580584574,2.1650789066279277
Ba0.83054Co0.86633Fe0.0Y0.0Zr0.13367O3,01201,16,2,5,0.22339,,21.392,31.643998999999997,0.8899988041942045,2.1499971112556624,1.489997998032994,137.32681548716576,1.8064815,1.3767340000000001,0.7805864166666667,63.24950690435001,0.8305411159167189,0.4926697584194493,1.5616648613716682,1.9088187626883428,2.171191874979203
Ba0.82109Co0.86908Fe0.0Y0.0Zr0.13092O3,01201,17,2,6,0.21144000000000002,,25.389999,31.643998999999997,0.8899959348663792,2.149990179733388,1.4899931943268596,137.3263727498823,1.8079939999999999,1.376184,0.7803343333333334,63.1607071906,0.8210937503997872,0.4922560223465228,1.5622839531148363,1.9094292416458154,2.1742374152884745
Ba0.81636Co0.86857Fe0.0Y0.0Zr0.13143O3,01201,18,2,7,0.19873001,,29.388,31.643998999999997,0.8900024826495361,2.1500059974118004,1.4900041563458526,137.3273830728234,1.8077135,1.3762860000000001,0.7803810833333333,63.177175501149996,0.8163577227751441,0.49233602705823465,1.5621796613580319,1.909328901184307,2.1736866516028988
Ba0.81954Co0.87167Fe0.0Y0.0Zr0.12833O3,01201,19,2,8,0.18431,6.622480900000001,33.386002000000005,31.643998999999997,0.890001489648144,2.1500035985882127,1.4900024939053196,137.3272298527086,1.8094184999999998,1.3756659999999998,0.7800969166666667,63.07707400564999,0.8195386282874197,0.49187155411981476,1.5628819775935532,1.910022283220988,2.1771338004741283
Ba0.82239Co0.88142Fe0.0Y0.0Zr0.11858O3,01201,20,2,9,0.16492,14.320085999999998,37.386002000000005,31.643998999999997,0.8899955954051477,2.1499893596865927,1.4899926260153598,137.3263203710143,1.8147809999999998,1.3737160000000002,0.7792031666666668,62.762238656899996,0.8223940700142554,0.4904148739738557,1.5650901348507205,1.912200424427638,2.1880405050834946
