FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.9524Co0.27671Fe0.4331Y0.12113Zr0.16905O3,01229,21,2,10,,0.080229998,,,,,,,,,,,41.381989000000004,31.643998999999997,0.8900015816727492,2.1500038208948435,1.4900026479689847,137.32724405210521,1.6854029000000001,1.4599600000000001,0.8531814666666668,66.68445669894999,0.9523983074354502,0.5280645842443662,1.4726457032349127,1.74640765907673,2.0593591198032146,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.90214Co0.26196Fe0.4584Y0.12529Zr0.15436O3,01229,22,2,11,,0.07062,,,,,,,,,,,45.37999,31.643998999999997,0.890001586206633,2.150003831847484,1.4900026555594192,137.32724475168348,1.6895094,1.460186,0.8551098,66.2578383487,0.9021383921596612,0.5267810798842747,1.4724177822876565,1.742469394643143,2.0726188504514935,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95143Co0.27236Fe0.41932Y0.12449Zr0.18382O3,01229,23,3,1,4.089064100000001,0.09120000199999999,0.54037428,0.41832078,0.68193233,1795.7247,784.3131099999999,314.07944,14.889113,30.8892,38.068981,44.300819,5.4000001,19.148001,0.8899992126606675,2.1499980980004887,1.4899986818701063,137.326878513541,1.6757507999999999,1.4637369999999998,0.8542883666666669,67.3046553367,0.951430841684184,0.5311047517689788,1.4688418055979242,1.7441401990336198,2.040377115469146,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93161Co0.26511Fe0.41309Y0.13302Zr0.18878O3,01229,24,3,2,,0.09399999699999999,,,,,,,,,,,9.397999800000001,19.148001,0.8899976370502884,2.149994291750697,1.489996044050483,137.3266353968595,1.6677233000000002,1.4682695,0.8565436750000001,67.74031326345,0.9316124734308151,0.5336602523034176,1.4643049465719318,1.7395447395609835,2.0272512597156163,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95458Co0.27311Fe0.41459Y0.13541Zr0.1769O3,01229,25,3,3,,0.095459998,,,,,,,,,,,13.39599,19.148001,0.8900043761517539,2.1500105716025515,1.4900073263664193,137.32767524021563,1.6726237,1.4670575,0.8562378916666668,67.42429018495,0.9545753063298865,0.5321007804395895,1.465525769509751,1.7401791498226276,2.036768572031167,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93787Co0.26627Fe0.41277Y0.13458Zr0.18637O3,01229,26,3,4,,0.09510000099999999,,,,,,,,,,,17.393998999999997,19.148001,0.8899991836322475,2.149998027875654,1.4899986332719648,137.32687403445578,1.6680164,1.46846,0.8567119416666669,67.70964865565,0.9378708602781195,0.5335674059513129,1.4641175298446356,1.7392060981119133,2.028172893539252,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.96232Co0.27117Fe0.42223Y0.13482Zr0.17178O3,01229,27,3,5,,0.09257999800000001,,,,,,,,,,,21.391991,19.148001,0.8900045884422991,2.150011084439262,1.490007681774186,137.32770799664675,1.6754283,1.4661365,0.8562436250000001,67.21709425515,0.9623150387336754,0.5312101917117545,1.4664467356479167,1.7401679128112468,2.0430473753501337,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9636Co0.27403Fe0.4265Y0.131Zr0.16846O3,01229,28,3,6,,0.088169999,,,,,,,,,,,25.391991,19.148001,0.8899989025706672,2.149997348906668,1.4899981627306675,137.32683066665393,1.6795432000000001,1.4639535,0.8552532333333335,66.98161731585,0.9636011881845046,0.5299053353141897,1.4686240709876837,1.742171914303589,2.050216703772514,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.97007Co0.2733Fe0.42478Y0.13081Zr0.17111O3,01229,29,3,7,,0.08327999700000001,,,,,,,,,,,29.38802,19.148001,0.8900026001672703,2.150006281302956,1.4900043530890255,137.3274012058098,1.6783158999999999,1.4643255000000002,0.8553074500000001,67.06739417200001,0.9700671659136014,0.5302950416946359,1.46825707897797,1.7420687182007186,2.0476030551242537,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.98073Co0.27676Fe0.429Y0.12911Zr0.16513O3,01229,30,3,8,,0.077239998,,,,,,,,,,,33.386009,19.148001,0.8899960295656952,2.1499904085013983,1.489993352868411,137.32638736198678,1.6825159000000003,1.4625754999999998,0.8546526333333334,66.8103094617,0.9807343752150643,0.5289673812685486,1.4700030244602065,1.7433905832093548,2.055467015022751,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
