FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.8818Co0.50778Fe0.36825Y0.0Zr0.12397O3,01252,21,2,10,4.0951056,0.18771,0.50166059,0.4883419,2803.0457,881.2466400000001,8.9819784,30.842496999999998,38.028427,41.381989000000004,31.643998999999997,0.889999894413788,2.1499997449321846,1.4899998232320721,137.3269837080475,1.793404,1.3932065,0.8106916250000001,61.7990582871,0.8818001046134076,0.4962629136623917,1.543202493623296,1.837936617677618,2.2221533388108807,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.88133Co0.52676Fe0.35706Y0.0Zr0.11618O3,01252,22,2,11,4.0912051,0.1689,0.50162184,0.5724209,2933.4783,671.50568,10.553659,30.872635,38.077751,45.37999,31.643998999999997,0.8900030590090656,2.1500073897410013,1.4900051212623682,137.32747200509883,1.798248,1.391089,0.8090357166666667,61.5820698182,0.8813269708009062,0.49492787369098457,1.5455570346261103,1.841704995919568,2.229991171302154,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86765Co0.3725Fe0.48497Y0.0Zr0.14252O3,01252,23,3,1,4.0857654000000005,0.19396,0.60749954,0.47533083,2464.1318,1033.2167,8.625440600000001,30.914764,38.112133,5.4000001,19.148001,0.889997514511958,2.1499939957311343,1.4899958389020418,137.3266164891951,1.7773467,1.4027390000000002,0.8222082916666666,62.0370092675,0.8676524230783397,0.5007450231921312,1.5327113566608856,1.8121878044816708,2.213624062647035,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.85284Co0.37784Fe0.47151Y0.0Zr0.15066O3,01252,24,3,2,4.0886998,0.21298000000000003,0.58665371,0.44181806,2575.0222,1296.0063,8.221426,30.892023,38.090649,9.397999800000001,19.148001,0.8900004884100843,2.1500011798670573,1.4900008176753097,137.327075361676,1.7735802999999999,1.403721,0.8218369416666668,62.3426021888,0.8528395319826656,0.5018100891231619,1.5316442369011058,1.8130127062110661,2.2027806113352635,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.85918Co0.38739Fe0.45901Y0.0Zr0.1536O3,01252,25,3,3,4.0875959,0.23145001,0.5827713000000001,0.41872802,2645.3357,1529.6267,7.6790447,30.900574,38.089161,13.39599,19.148001,0.8900009103079575,2.150002199058549,1.4900015239987152,137.32714046051782,1.7725695,1.4036705,0.8210466750000001,62.475550261049996,0.8591791212161901,0.5020964821452459,1.5317000671158572,1.8147586116206063,2.1980941326119634,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.85574Co0.39889Fe0.44298Y0.0Zr0.15813O3,01252,26,3,4,4.0871162000000005,0.2455,0.59306699,0.41630593,2704.5771,1787.6781,7.4136839000000005,30.904289000000002,38.079929,17.39397,19.148001,0.8899995970462392,2.1499990265723756,1.4899993253920183,137.3269378242347,1.7708795,1.403775,0.8201127333333333,62.67133137355,0.8557403874424802,0.5025749053203447,1.5315837841337647,1.8168225718627036,2.1912241979622693,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.85609Co0.41473Fe0.42394Y0.0Zr0.16133O3,01252,27,3,5,4.0890522,0.25457001,0.59537655,0.37421241,2766.0911,1986.3329999999999,7.383300299999999,30.889294,38.069557,21.391991,19.148001,0.8899969417569239,2.149992612109423,1.4899948800200187,137.32652811309336,1.7700715,1.403463,0.8188035333333333,62.83346118235,0.8560929417306872,0.5028028199747433,1.531919695859045,1.8197220937167655,2.185563639643467,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86213Co0.43367Fe0.4071Y0.0Zr0.15923O3,01252,28,3,6,4.0913867999999995,0.25852001,0.6048553000000001,0.37495703,2748.6274,2045.4792,7.457807099999999,30.871229,38.043628999999996,25.389971,19.148001,0.8899955765527902,2.1499893141443804,1.4899925944535475,137.32631746209552,1.7720685,1.4022009999999998,0.8171936666666667,62.817655695650004,0.8621342849499969,0.502235425184066,1.533296092460625,1.8233041385785915,2.1861101937238496,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86896Co0.45813Fe0.38539Y0.0Zr0.15648O3,01252,29,3,7,4.0933957,0.25601,0.61486083,0.38918921,2656.8201,1915.2133,7.3012671000000005,30.8557,38.019954999999996,29.387990999999996,19.148001,0.8900032876039788,2.150007941964668,1.490005503966212,137.32750727729393,1.7746665,1.4005655000000001,0.8151143249999999,62.79590069535,0.8689567901283138,0.5015045292194217,1.5350998878414954,1.8279711916070327,2.1868864966764137,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.8719Co0.48021Fe0.36631Y0.0Zr0.15347O3,01252,30,3,8,4.09621,0.24814001,0.5952310000000001,0.4031274,2664.9353,1737.9121,7.578409700000001,30.833972999999997,37.996807000000004,33.385979,19.148001,0.8899991973846213,2.1499980610976808,1.489998656295602,137.32687615644707,1.7772572000000002,1.398996,0.813224825,62.75703880095,0.8719007862932356,0.5007711868516392,1.5368150166960313,1.832209999609397,2.188230655560636,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
