FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.89537Co0.21608Fe0.44286Y0.07299Zr0.26808O3,01197,11,1,11,4.0288916,0.20092000000000002,0.53564012,1252.5243,3.3416102,31.362322,45.37999,44.141998,0.8899977647991525,2.1499946003575032,1.4899962579221766,137.32665510850921,1.6622583999999998,1.458618,0.8500180166666668,68.41036938709999,0.895372248693044,0.5354148096343821,1.4739942879887011,1.7528996194282742,2.007395316511836
Ba0.93381Co0.42186Fe0.26927Y0.05968Zr0.24919O3,01197,12,2,1,,0.24236,,,,,5.4000001,31.646,0.8900022347742362,2.1500053986119187,1.490003741363609,137.32734482566465,1.6900932,1.4401575000000002,0.8300523750000001,67.9369504807,0.9338076552255176,0.5265995004146732,1.4928960190895222,1.7950719571925913,2.0213940109760675
Ba0.91022Co0.39544Fe0.27817Y0.06509Zr0.26131O3,01197,13,2,2,,0.26379001,,,,,9.397999800000001,31.646,0.8899999892784626,2.1499999740996567,1.48999998205046,137.32699834566677,1.6794304,1.4454745,0.8333898583333335,68.4635714973,0.9102200109651213,0.5299415738088715,1.4874008321140613,1.7878787066478796,2.005840410342638
Ba0.91113Co0.37178Fe0.29134Y0.06832Zr0.26856O3,01197,14,2,3,,0.28115001,,,,,13.39599,31.646,0.8900048475028954,2.1500117102598035,1.4900081154823757,137.32774796969676,1.6726338,1.449023,0.8360327166666667,68.7532306491,0.9111250374367897,0.5320978492141528,1.4837664483309123,1.7822366108149026,1.997400655550059
Ba0.89844Co0.34361Fe0.29884Y0.07627Zr0.28128O3,01197,15,2,4,,0.29636999999999997,,,,,17.393998999999997,31.646,0.890002029552819,2.1500049028523156,1.4900033977906746,137.32731316,1.6600158,1.4555194999999999,0.8399897166666666,69.37909083345,0.8984379512053072,0.5361406979095132,1.4771391952167703,1.773835284202596,1.9793760844987878
Ba0.89394Co0.31744Fe0.31471Y0.08012Zr0.28772O3,01197,16,2,5,,0.30421001,,,,,21.391991,31.646,0.8900048495593508,2.150011715227645,1.4900081189252052,137.3277482870078,1.6531204999999998,1.45932,0.8429540083333333,69.6528393528,0.8939351289983553,0.5383786902160798,1.4732969569577918,1.7676031007566004,1.9716030180970263
Ba0.88734Co0.29649Fe0.32918Y0.07957Zr0.29476O3,01197,17,2,6,,0.30539,,,,,25.389999,31.646,0.8899951853254169,2.1499883690445465,1.4899919394773833,137.32625709571184,1.6489068,1.4612175,0.8446755000000001,69.81958481005,0.8873448003106253,0.5397486294103565,1.4713677936683256,1.763981481027191,1.9668730123405826
Ba0.88919Co0.2746Fe0.33726Y0.08644Zr0.30171O3,01197,18,2,7,,0.30130999999999997,,,,,29.38802,31.646,0.8899968360517388,2.1499923567542005,1.489994703052911,137.3265118027833,1.6401649000000003,1.4661165,0.8478666833333334,70.225554761,0.8891931610799504,0.5426264371660061,1.4664539664850649,1.7573455029452185,1.9555062579448366
Ba0.89641Co0.25977Fe0.34744Y0.08639Zr0.30641O3,01197,19,2,8,,0.29027,,,,,33.386009,31.646,0.8900038067893217,2.150009196176451,1.4900063731641453,137.32758738759233,1.6371039,1.467543,0.84914075,70.34438508665001,0.8964061658096406,0.5436452791965871,1.4650399996296195,1.7547224923125468,1.9522181794386662
Ba0.89597Co0.24769Fe0.36068Y0.08512Zr0.30651O3,01197,20,2,9,,0.27142,,,,,37.384009999999996,31.646,0.8900019966935646,2.1500048234732176,1.4900033427791137,137.32730808981702,1.6372063,1.46764,0.8499115833333334,70.26807186155,0.8959679899173938,0.5436101709928459,1.4649401920588274,1.7531274687837004,1.954334371951953
