FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.87958Co0.0Fe0.81818Y0.0Zr0.18182O3,01160,25,3,3,4.1201744,0.31266999,0.842282,0.45530006,,1081.8971,1214.8356,,3.4444404000000004,30.650215000000003,37.792789,,13.39599,19.148001,0.8900036525326752,2.1500088235339905,1.4900061149142538,137.32756358579178,1.7390900000000002,1.427273,0.85386365,62.277609780000006,0.8795763902454993,0.5117639987192584,1.506375321003053,1.7450164495399867,2.2050872548081237
Ba0.88237Co0.0Fe0.8206Y0.0Zr0.1794O3,01160,26,3,4,,0.30735999,,,,,,,,,,,17.393998999999997,19.148001,0.8900024674971113,2.1500059608076283,1.49000413097831,137.32738073480428,1.7403,1.42691,0.8538455,62.19199259999999,0.882367553663607,0.5114074972689256,1.506756530410207,1.7450512194282337,2.2081199684025608
Ba0.8802Co0.0Fe0.82276Y0.0Zr0.17724O3,01160,27,3,5,,0.29271999,,,,,,,,,,,21.391991,19.148001,0.889995417683434,2.1499889303588575,1.4899923284812546,137.32629294855386,1.7413800000000001,1.426586,0.8538293000000001,62.115573960000006,0.8802045318829302,0.51108627507117,1.5070868004865166,1.7450705058742473,2.210819029652477
Ba0.88793Co0.0Fe0.82147Y0.0Zr0.17853O3,01160,28,3,6,,0.27491,,,,,,,,,,,25.389999,19.148001,0.8900024560413964,2.1500059331337105,1.4900041117996412,137.32737896718746,1.7407350000000001,1.4267795,0.8538389750000001,62.16121287,0.8879275496777314,0.5112796927972358,1.5068943260915302,1.7450645325714267,2.209213312075895
Ba0.88949Co0.0Fe0.82326Y0.0Zr0.17674O3,01160,29,3,7,,0.25040999,,,,,,,,,,,29.38802,19.148001,0.8900038873136925,2.1500093907016167,1.4900065079746088,137.32759981250274,1.74163,1.4265109999999999,0.85382555,62.09788446,0.8894861149308384,0.5110177749083861,1.5071803797528494,1.7450947772347742,2.2114698593470044
Ba0.89055Co0.0Fe0.82716Y0.0Zr0.17284O3,01160,30,3,8,,0.22384,,,,,,,,,,,33.386009,19.148001,0.8899983467485648,2.149996006190353,1.4899972321970354,137.32674490330356,1.7435800000000001,1.425926,0.8537963,61.95990636,0.8905516542761803,0.5104430807583046,1.5077893286119706,1.745143697855139,2.216380768967056
Ba0.89559Co0.0Fe0.83059Y0.0Zr0.16941O3,01160,31,3,9,,0.19682001,,,,,,,,,,,37.384009999999996,19.148001,0.8900002423465581,2.1500005854439324,1.4900004057262601,137.3270373940739,1.7452950000000003,1.4254115,0.853770575,61.83855639000001,0.8955897561313542,0.509942584117045,1.508336775340968,1.745199997934176,2.2207348523466055
Ba0.90207Co0.0Fe0.8379Y0.0Zr0.1621O3,01160,32,3,10,,0.17016999,,,,,,,,,,,41.381989000000004,19.148001,0.8900036362056537,2.1500087840923094,1.4900060875802517,137.32756106653235,1.74895,1.424315,0.85371575,61.579935899999995,0.9020663144959182,0.5088788337034528,1.5095037151840074,1.7453187288394898,2.230069893049895
Ba0.88975Co0.0Fe0.84538Y0.0Zr0.15462O3,01160,33,3,11,,0.14655,,,,,,,,,,,45.37999,19.148001,0.890000017140123,2.150000041405915,1.4900000286952622,137.32700264472098,1.75269,1.423193,0.8536596500000001,61.31530098,0.889749982864692,0.5077908912244168,1.510687616792603,1.7454263285083955,2.2396856975311055
Ba0.88616Co0.0Fe0.84087Y0.0Zr0.15913O3,01160,34,4,1,,0.16780999,,,,,,,,,,,5.4000001,6.650000099999999,0.8899971931498213,2.1499932194068716,1.4899953008912739,137.3265669030174,1.750435,1.4238695,0.853693475,61.47486027,0.886162794748538,0.5084434401447762,1.5099650771414597,1.7453516332560393,2.233865458170604
