FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01141,21,2,10,,,,,,,,,,,41.381989000000004,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,22,2,11,4.1194711,0.96622908,0.9142924000000001,,3543.8462,265.23135,,30.655577,37.875374,,45.37999,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,23,3,1,4.1390324,0.58876562,,,2756.0454,,,30.507168,,,5.4000001,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,24,3,2,4.1407847,0.58162397,0.49585414,,2901.6675,226.39507999999998,,30.493940000000002,37.653529999999996,,9.397999800000001,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,25,3,3,4.1404805,0.5969274,0.61962253,,2934.9639,236.88837999999998,,30.496237,37.693382,,13.39599,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,26,3,4,4.1398315000000006,0.59459889,0.53449875,,2998.6621,290.43523999999996,,30.501134999999998,37.655842,,17.393998999999997,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,27,3,5,4.139688,0.5825448000000001,0.40651929,,3049.5984,284.50027,,30.502215999999997,37.66087,,21.391991,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,28,3,6,4.1388597,0.57160264,,,3119.7842,,,30.508469,,,25.389999,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,29,3,7,4.1345038,0.62785161,0.36371139,,2960.0259,231.97607000000002,,30.541393,37.633358,,29.38802,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,30,3,8,,,,,,,,,,,33.386009,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,31,3,9,4.1112193999999995,0.99680662,,0.86490321,4134.9873,,665.76105,30.718624,,44.332809000000005,37.384009999999996,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,32,3,10,4.112208799999999,0.79529804,0.80294436,0.60841542,5561.1831,595.74609,814.78247,30.71105,37.949005,44.189606,41.381989000000004,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,33,3,11,4.1182913999999995,0.67375177,0.68672907,0.65162349,6202.5161,646.20947,725.6052900000001,30.664573999999998,37.847931,44.039356,45.381989000000004,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,34,4,1,,,,,,,,,,,5.4000001,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,35,4,2,,,,,,,,,,,9.397999800000001,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,36,4,3,,,,,,,,,,,13.39599,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,37,4,4,,,,,,,,,,,17.393998999999997,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,38,4,5,,,,,,,,,,,21.391991,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,39,4,6,,,,,,,,,,,25.389999,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,40,4,7,,,,,,,,,,,29.38802,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,41,4,8,4.111258,0.85177445,0.78309309,0.70430028,5129.7773,488.69717,747.90002,30.718328000000003,37.983398,44.198105,33.386009,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,42,4,9,4.1149263,0.72297156,0.74799824,0.68745857,5997.1714,595.5531,722.45367,30.690269,37.889465,44.085594,37.384009999999996,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,43,4,10,4.1283317,0.5672099,0.57786059,0.62892061,6797.8447,675.5387,800.04608,30.588172999999998,37.717194,43.905128000000005,41.381989000000004,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01141,44,4,11,4.1398425,0.53565449,0.5941025,0.71912736,7110.791,757.85828,457.86282,30.501049,37.580734,43.652969,45.37999,6.650000099999999,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,ITO/EXG,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
